q,dq,ddq_ref,u_measured
0.0,2.0,1.0,1.7099342830602247
0.010017347467520562,2.004901900482902,0.9596797373887705,1.657404641413637
0.020058709686651938,2.0096005972190087,0.9187592074556065,1.6326730379395211
0.030123062621333265,2.0140930884720434,0.8772388747224086,1.6091087806977733
0.0402093672257305,2.018376375192161,0.8351193490737365,1.532273919098486
0.050316569459503434,2.0224474617486887,0.7924013879804118,1.489963395016297
0.06044360030676603,2.02630335667398,0.7490858987190138,1.4833004906965597
0.07058937579879566,2.0299410734183603,0.7051739405864593,1.4235167425113535
0.08075279704054664,2.033357631116133,0.6606667271088353,1.3546130025017495
0.09093275024102332,2.036550055362629,0.6155656282436439,1.330071834651626
0.1011281067475679,2.039515379002239,0.5698721725746052,1.2645553566185799
0.11133772308411784,2.042250642927423,0.5235880494981402,1.2184985187194775
0.12156044099348749,2.04475289688862,0.4767151114006536,1.1860296465208362
0.13179508748372867,2.0470192003150323,0.4292553758257105,1.0956916909640577
0.1420404748786244,2.0490466231462237,0.3812110276301899,1.0516173332945518
0.15229540087236898,2.050832246674471,0.3325844211284895,1.0264218952111173
0.1625586485884898,2.0523731643978125,0.2833780822238261,0.9683587762569189
0.17282898664306218,2.053666482883724,0.23359471052568115,0.945246305465959
0.18310516921227143,2.05470932264335,0.1832371814524082,0.8705476322063189
0.19338593610437493,2.0554988190162145,0.1323085483180143,0.8096123561929299
0.20367001283611547,2.0560321230653265,0.08081204440211631,0.81572823208708
0.21395611071363846,2.056306402482603,0.028751085002040933,0.7298661992405705
0.22424292691796405,2.056318842504503,-0.023870730533950946,0.6831117178102578
0.23452914459506513,2.0560666468377877,-0.07704961679337075,0.6000620841661388
0.2448134329506014,2.0555470385953,-0.1307816003072032,0.5638854490618231
0.2550944473493597,2.0547572612416545,-0.18506251757967063,0.5226316603386921
0.26537082941944956,2.0536945795487265,-0.23988801314115116,0.4424615732652754
0.27564120716130314,2.0523562805608204,-0.2952535376253663,0.4174960507976292
0.28590419506152687,2.0507396745693973,-0.35115434587192973,0.3419068477866339
0.29615839421165313,2.048842096097224,-0.40758549505541486,0.29146483955844205
0.3064023924318385,2.0466609048918145,-0.4645418428420627,0.22809011540253088
0.3166347643995547,2.0441934869280236,-0.5220180455753051,0.219446866807676
0.32685407178331694,2.0414372554196394,-0.580008556491253,0.1238652245559522
0.33705886338149593,2.0383896518398266,-0.638507623965348,0.0441771226395167
0.34724767526625566,2.0350481469502606,-0.6975092897913663,0.022446423145723513
0.35741903093266136,2.0314102418387883,-0.7570073874939797,-0.0782832363095213
0.3675714414529991,2.0274734689654434,-0.816995540676094,-0.11007092187945454
0.37770340563634813,2.0232353932166367,-0.8774671614021942,-0.21433702455812598
0.3878134101934483,2.0186936129673456,-0.9384154486189474,-0.26310980830018144
0.3978999299068989,2.013845761151108,-0.9998333866143027,-0.29451158578180947
0.4079614278067306,2.00868950633762,-1.0617137435163624,-0.3460754612826922
0.41799635535138596,2.00322255381775,-1.1240490698333014,-0.4202994488277271
0.42800315261414645,1.997442646695745,-1.186831697035616,-0.48940039801380636
0.4379802484750399,1.99134756698842,-1.250053736181992,-0.5569410533949357
0.4479260608182644,1.9849351367311157,-1.3137070765901204,-0.6447840027243573
0.4578389967351612,1.9782032190901844,-1.3777833845537506,-0.6943599468126264
0.46771745273276805,1.9711497194817789,-1.4422741021073233,-0.7543719055783411
0.4775598149479851,1.9637725866966953,-1.5071704458395043,-0.7896507426454565
0.48736445936738243,1.956069814031034,-1.57246340575698,-0.8699840585625074
0.4971297520526771,1.9480394404224073,-1.6381437441998408,-0.9786006032648547
0.5068540493719089,1.9396795515914438,-1.704201994809933,-1.0037523602628926
0.5165356982363365,1.9309882811883232,-1.7706284615535257,-1.0852312790430196
0.5261730363430848,1.9219638119440547,-1.8374132177996916,-1.158755276611405
0.5357643924235594,1.9126043768262249,-1.9045461054557415,-1.2010521419963016
0.5453080864976553,1.9029082601989298,-1.9720167341611408,-1.2611059176913288
0.5548024301337772,1.8928737989865851,-2.039814480541268,-1.3319014982602855
0.5642457267146915,1.8824993838413187,-2.1079284875224302,-1.436462899602751
0.5736362717092256,1.871783460313632,-2.176347663709515,-1.4953535651951764
0.5829723529498319,1.8607245300260202,-2.245060682827722,-1.5523629611970489
0.5922522509160281,1.849321151849216,-2.3140559832297356,-1.609612965502367
0.6014742390237298,1.8375719430807338,-2.3833217674697877,-1.7091480579186202
0.6106365839204823,1.8254755806253762,-2.452846001946021,-1.77401162341676
0.619737545786601,1.813030802177356,-2.5226164166125393,-1.8634400358749243
0.628775378642232,1.8002364074036776,-2.592620504762616,-1.9365209965038617
0.6377483306603309,1.7870912591284256,-2.6628455228844254,-1.967885880523699
0.6466546444855714,1.7735942845175894,-2.733278490590775,-2.0287942615675996
0.6554925575591789,1.759744476264052,-2.8039061906242067,-2.129371945429408
0.6642603024496918,1.7455408937723595,-2.8747151689389097,-2.180090421603833
0.6729561071896504,1.73098266434289,-2.945691734860893,-2.265360747925651
0.6815781956182042,1.7160689843550185,-3.0168219613277736,-2.358117457984374
0.6901247877296377,1.700799120448881,-3.0880916852096454,-2.410783861054589
0.6985941000278011,1.6851724107053294,-3.1594865077124292,-2.460208535312577
0.7069843458864395,1.66918826582366,-3.2309917948650906,-2.5647894890649234
0.7152937359154079,1.6528461702966861,-3.3025926780921524,-2.6060151879462037
0.723520478332755,1.636145683582739,-3.3742740548728998,-2.7630543885964207
0.7316627793426633,1.6190864412741448,-3.4460205894886515,-2.7676738952737328
0.7397188435192245,1.601668156261742,-3.517816713859504,-2.8559089568685665
0.7476868741960273,1.5838906198949894,-3.589646628471898,-2.9372377134917165
0.7555650738615401,1.565753703137198,-3.6614943033984346,-3.003083717554005
0.7633516445602576,1.5472573577154327,-3.7333434794112272,-3.118369121931702
0.7710447882995847,1.5284016172646058,-3.805177669190196,-3.156730945220486
0.7786427074624307,1.5091865984652857,-3.8769801586276436,-3.21891924735088
0.7861436052254762,1.4896125021747366,-3.948734008230396,-3.2702148771180917
0.7935456859830815,1.4696796145506956,-4.020422054620895,-3.3838194975312987
0.8008471557767975,1.4493883081673906,-4.0920269121384925,-3.463257953379617
0.8080462227304376,1.4287390431232982,-4.163530974542262,-3.5306922111016226
0.8151410974906715,1.4077323681401213,-4.234916416816614,-3.5758351376485606
0.8221299936730919,1.3863689216524768,-4.306165197080948,-3.660953282722507
0.8290111283137092,1.3646494328877676,-4.37725905860463,-3.751389319391194
0.8357827223258214,1.34257472293571,-4.448179531928478,-3.8036567109726396
0.8424430009622088,1.3201457058069748,-4.51890793709399,-3.8849518155263323
0.848990194282595,1.2973633894804095,-4.589425385981535,-3.9403161472228363
0.8554225376263175,1.2742288769382886,-4.659712784758607,-4.046330958942326
0.8617382720901455,1.2507433671890331,-4.72975083643937,-4.111229742652423
0.8679356450111825,1.2269081562768527,-4.799520043556581,-4.184671390991539
0.874012910454784,1.2027246382777335,-4.869000710946997,-4.277998546081866
0.8799683297074243,1.1781943062812061,-4.93817294865139,-4.314431112481978
0.8858001717744362,1.153318753357321,-5.007016674930163,-4.386463694150833
0.8915067138825503,1.1280996735082398,-5.075511619395675,-4.462599382912002
0.8970862419871557,1.1025388626038721,-5.143637326262227,-4.538075182669343
0.9025370512841985,1.0766382193009505,-5.2113731577147,-4.632016750625613
0.9078574467266367,1.0503997459449603,-5.278698297396835,-4.682071229257645
0.9130457435453629,1.023825549454312,-5.345591754020015,-4.750063489405119
0.918100267774503,0.996917842186166,-5.41203236509349,-4.828386126259306
0.9230193567810002,0.9696789427832819,-5.477998800776864,-4.884256620731856
0.927801359798387,0.9421112770012962,-5.543469567855739,-4.94117742301932
0.9324446384646432,0.9142173785157981,-5.608423013841193,-4.979277557965403
0.936947567364043,0.8859998897085856,-5.672837331193998,-5.080745785966503
0.9413085345728786,0.8574615624324796,-5.736690561674156,-5.145793397616453
0.9455259422089566,0.8286052587540611,-5.799960600816551,-5.218588993256468
0.9495982069847534,0.799433951673705,-5.862625202533294,-5.3210572316719045
0.9535237607641135,0.7699507258222705,-5.9246619838433965,-5.348197188770154
0.9573010511223746,0.7401587781338134,-5.986048429730368,-5.410827947718166
0.9609285419097953,0.7100614184936761,-6.046761898128178,-5.426490914029105
0.9644047138181625,0.6796620703613121,-6.1067796250361885,-5.542660637295679
0.9677280649504509,0.648964271367201,-6.16607872976339,-5.595151355779998
0.9708971113934008,0.6179716738832061,-6.224636220302397,-5.663533288308182
0.9739103877928816,0.5866880455657225,-6.282428998833526,-5.747133755029344
0.9767664479319046,0.5551172698709611,-6.3394338673593,-5.76106568408189
0.9794638653111403,0.523263346541725,-6.395627533469575,-5.828262538161281
0.9820012337317996,0.4911303920650164,-6.450986616237544,-5.886052938080146
0.9843771678807293,0.45872264009981784,-6.505487652246756,-5.977803137114689
0.9865903039175714,0.4260444418744057,-6.559107101749253,-5.9884467674159705
0.9886393000638333,0.3931002665525118,-6.611821354954892,-6.100548291202468
0.9905228371937089,0.3598947015677131,-6.663606738451818,-6.115879415276129
0.9922396194264933,0.32643245292536444,-6.714439521758087,-6.137980094920409
0.9937883747204244,0.2927183454714292,-6.764295924004275,-6.254777811199577
0.9951678554677851,0.2587573231275592,-6.813152120746914,-6.298231417046753
0.9963768390910962,0.22455444909175565,-6.86098425091257,-6.334598445451757
0.9974141286402257,0.19011490600397268,-6.907768423872224,-6.390746261694684
0.9982785533902369,0.15544399607600135,-6.9534807266456315,-6.442173785255801
0.9989689694397956,0.12054714118499182,-6.998097231235252,-6.414522285779179
0.9994842603099541,0.08542988292996916,-7.041594002089297,-6.409699304021554
0.9998233375431218,0.0500978826506789,-7.083947103693314,-6.336054036892023
0.9999851413020366,0.01455692140815386,-7.125132608289767,-6.348355637976664
0.9999686409685411,-0.021187100073669307,-7.1651266037248975,-7.9230776146055515
0.9997728357419675,-0.057128161505897175,-7.203905201422164,-7.941746117795385
0.9993967552369334,-0.09326012317282813,-7.241444544481448,-7.88292929855851
0.9988394600803435,-0.12957672611093837,-7.277720815903176,-7.830375561031324
0.9981000425073938,-0.16607159232930707,-7.312710246936393,-7.872960666470315
0.9971776269563664,-0.2027382250721219,-7.3463891255497815,-7.86703470961438
0.9960713706620064,-0.23957000912385942,-7.378733805024577,-7.877512980501529
0.9947804642472627,-0.2765602111577563,-7.4097207126681734,-7.969669418222522
0.9933041323131775,-0.3137019801281693,-7.4393263586472385,-7.967019848412393
0.9916416340267001,-0.3509883477074207,-7.467527344938985,-7.99742986327027
0.9897922637062049,-0.3884122287677126,-7.494300374399278,-8.017505224014588
0.9877553514044828,-0.42596642190869477,-7.519622259946053,-8.086957920307796
0.9855302634889798,-0.4636436100312585,-7.543469933856559,-8.11624342725982
0.9831164032190471,-0.5014363609581195,-7.565820457176805,-8.105525261963887
0.9805132113199695,-0.5393371281017515,-7.586651029241482,-8.134645048587064
0.9777201665535313,-0.5773382511802145,-7.605938997302626,-8.15866296541373
0.9747367862848829,-0.6154319569814152,-7.6236618662651425,-8.178276097773345
0.971562627045459,-0.6536103601763406,-7.639797308527269,-8.218758838976473
0.9681972850917082,-0.6918654641817643,-7.6543231739239275,-8.218864646398885
0.9646403969593785,-0.7301891620729661,-7.667217499770896,-8.234374966512219
0.9608916400131141,-0.7685732375469249,-7.678458521007569,-8.269602873122789
0.9569507329911044,-0.8070093659365052,-7.688024680436071,-8.231410126806827
0.9528174365445321,-0.8454891152760995,-7.695894639054328,-8.270966892163703
0.9484915537715602,-0.8840039474191853,-7.7020472864806555,-8.314273751166628
0.9439729307455978,-0.9225452192082656,-7.706461751467347,-8.285585201215497
0.9392614570375813,-0.9611041836976084,-7.709117412500601,-8.324721464274909
0.9343570662320062,-0.9996719914292336,-7.70999390848411,-8.294219415552185
0.9292597364364409,-1.0382396917625412,-7.709071149503474,-8.28972320709958
0.923969490784255,-1.0767982342579854,-7.706329327668574,-8.330422797461408
0.9184863979302897,-1.1153384701151805,-7.701748928030899,-8.29401525245753
0.9128105725391958,-1.153851153665798,-7.695310739572763,-8.302440236400614
0.9069421757661675,-1.1923269439216124,-7.686995866265267,-8.28978735745754
0.9008814157297926,-1.2307564061780256,-7.676785738191685,-8.26192551915641
0.8946285479767415,-1.2691300136734005,-7.664662122733004,-8.296482886420401
0.8881838759380157,-1.3074381493044904,-7.650607135812127,-8.296425674029726
0.8815477513764728,-1.3456711073982657,-7.634603253193199,-8.286960652525535
0.8747205748253483,-1.3838190955403826,-7.616633321832471,-8.271331437085818
0.8677027960174859,-1.4218722364605734,-7.596680571276942,-8.24040982911128
0.860494914304996,-1.459820569975151,-7.574728625106986,-8.213887642608169
0.8530974790690504,-1.497654054986874,-7.550761512419035,-8.194993101931122
0.8455110901195313,-1.5353625715423362,-7.52476367934436,-8.161756271517874
0.8377363980842428,-1.5729359229470612,-7.496720000599806,-8.153753555056955
0.8297741047873977,-1.6103638379384535,-7.46661579106633,-8.09858149331703
0.8216249636170878,-1.6476359729167298,-7.4344368173910365,-8.104493551347469
0.813289779881451,-1.6847419142339422,-7.400169309608385,-8.014240117699988
0.8047694111532389,-1.7216711805411717,-7.363799972776005,-8.023453743874821
0.7960647676024994,-1.7584132251939597,-7.325315998620683,-8.018300472268404
0.7871768123170813,-1.7949574387160085,-7.284705077189787,-7.98561867102261
0.778106561610664,-1.8312931513211828,-7.241955408503393,-7.915435275330647
0.7688550853180299,-1.8674096354937813,-7.1970557142023,-7.888265933458195
0.7594235070772806,-1.9032961086270639,-7.14999524918702,-7.826044850167885
0.749813004598709,-1.938941735719966,-7.1007638132426685,-7.785193234323193
0.740024809920035,-1.9743356321319279,-7.049351762644696,-7.748241904111026
0.7300602096477186,-2.009466866395706,-6.995750021740285,-7.713632582741224
0.7199205451840497,-2.044324463088073,-6.939950094500018,-7.674679485302542
0.7096072129397406,-2.078897405758199,-6.881944076034584,-7.598764115651744
0.6991216645317212,-2.1131746399135545,-6.821724664070953,-7.515914152175839
0.6884654069658551,-2.147145076063108,-6.759285170382544,-7.46971780310625
0.6776400028042878,-2.1807975928175796,-6.694619532167666,-7.437614067023663
0.6666470703171457,-2.214121040046472,-6.627722323370627,-7.345670808858251
0.6554882836182996,-2.2471042420915763,-6.558588765939607,-7.275592842554188
0.6441653727849117,-2.279736001036634,-6.48721474101546,-7.232865489843146
0.6326801239604882,-2.312005100032773,-6.413596800045489,-7.141722807929855
0.6210343794411546,-2.343900306679351,-6.337732175816099,-7.070958032115114
0.6092300377448842,-2.3754103764597696,-6.259618793398279,-7.020019237000869
0.5972690536633991,-2.4065240562318144,-6.179255280999613,-6.912751939415829
0.5851534382964789,-2.4372300877720288,-6.096640980716666,-6.829148298966504
0.572885259068399,-2.467517211373626,-6.01177595918124,-6.736866655455097
0.5604666397262463,-2.497374169497368,-5.924661018094274,-6.653322394003313
0.5478997603198295,-2.5267897104748536,-5.835297704640658,-6.615530063047285
0.535186857162943,-2.555752592263592,-5.743688321778623,-6.518020081803284
0.5223302227757135,-2.5842515862532207,-5.649835938396924,-6.3979603916780725
0.5093322058077785,-2.612275481122195,-5.55374439933317,-6.3046962284271455
0.49619521094205005,-2.639813086744228,-5.455418335246566,-6.209098690194868
0.4829216987788117,-2.6668532381437395,-5.354863172338197,-6.044493866339477
0.46951418569990855,-2.693384799499541,-5.252085141912017,-6.010005811648108
0.455975243712788,-2.7193966681959285,-5.147091289769569,-5.89631964378555
0.44230750027415844,-2.7448777789203556,-5.039889485431465,-5.795297228053637
0.4285136380930398,-2.7698171078067664,-4.930488431178626,-5.694442316933186
0.4145963949129632,-2.794203676623721,-4.8188976709060345,-5.604623423461213
0.4005585632731241,-2.8180265570062986,-4.7051275987821075,-5.471750870072872
0.38640299024824515,-2.841274874730842,-4.5891894677062375,-5.388773459470073
0.3721325771669584,-2.8639378140314724,-4.471095397557482,-5.26222555109543
0.3577502793084857,-2.8860046219573463,-4.350858383227002,-5.149166116379319
0.3432591055774265,-2.907464612769528,-4.228492302427028,-5.017601280916254
0.3286621181564523,-2.9283071723763534,-4.104011923268978,-4.850549469173142
0.31396243213671665,-2.9485217628061196,-3.977432911603342,-4.809630391735789
0.2991632151258067,-2.968097926715867,-3.8487718381140397,-4.631856426978136
0.2842676868330435,-2.9870252919350326,-3.7180461851596647,-4.549003031776961
0.26927911863197096,-3.0052935760426753,-3.5852743533543143,-4.395242348274371
0.254200833099872,-3.0228925909769475,-3.450475667880551,-4.2309859150388975
0.2390362035341382,-3.0398122476754756,-3.313670384526899,-4.116366008912538
0.22378865344535787,-3.0560425607452246,-3.1748796954425202,-4.002038847075629
0.20846165602697264,-3.071573653160436,-3.0341257346015595,-3.855589174102802
0.1930587336013588,-3.0863957609871595,-2.8914315829695663,-3.686479204089589
0.17758345704222236,-3.1004992381328607,-2.7468212733647057,-3.5714785298123344
0.16203944517315935,-3.1138745611195793,-2.6003197950059933,-3.4073780793263118
0.1464303641423007,-3.126512333879031,-2.451953097741409,-3.2636928943312355
0.13075992677290094,-3.138403292568051,-2.3017480959480814,-3.1286204321570024
0.11503189188980148,-3.1495383104027135,-2.149732672097369,-2.921807621351134
0.09925006362166577,-3.1599084025094224,-1.9959356799772732,-2.799248139781855
0.08341829067890193,-3.169504730791262,-1.8403869475647467,-2.6978402723770247
0.06754046560721796,-3.178318608807817,-1.6831172795406917,-2.497220054126085
0.051620524016725164,-3.186341506666664,-1.5241584594400823,-2.3560283394021164
0.0356624437865513,-3.1935650559247004,-1.3635432514300725,-2.1658510903266177
0.019670244244916407,-3.199981054497412,-1.201305401708791,-2.037153921927186
0.0036479853246279416,-3.2055814715741793,-1.0374796395175288,-1.8603325155042847
-0.01240023330601735,-3.2103584525376663,-0.8721016777592865,-1.683037777433444
-0.028470273136950837,-3.214304323885301,-0.7052082132164587,-1.5093235417215862
-0.044557957734672374,-3.2174115981508304,-0.5368369263606367,-1.3825840143168353
-0.06065907368519734,-3.219672978823887,-0.3670264807476613,-1.1956838033468689
-0.07676937156161737,-3.2210813652654773,-0.19581652199078792,-1.0274235647405547
-0.0928845669162251,-3.221629857617268,-0.02324767630538227,-0.8584772467185833
-0.109000341297182,-3.2213117617025,0.15063845138177012,-0.6361836399828581
-0.1251123432896816,-3.2201205939163473,0.32579927976520273,-0.48811314540721285
-0.1412161895815364,-3.218050086103481,0.5021912539419889,-0.3448314337550601
-0.15730746605313894,-3.215094190420591,0.6797698486481377,-0.12338233145282586
-0.1733817288916942,-3.2112470841815606,0.8584895719563044,0.07980798747840094
-0.18943450572964965,-3.2065031746829806,1.0383039694412908,0.23830295718401562
-0.2054612968072107,-3.200857104007639,1.2191656288194084,0.3686925190995642
-0.22145757615881909,-3.194303753803608,1.401026185067664,0.571911128229978
-0.23741879282348047,-3.186838250036505,1.5838363260288486,0.7904907240089305
-0.2533403720787869,-3.1784559677124933,1.7675457985081553,0.9355468124245303
-0.26921771669848943,-3.1691525355695354,1.952103414867059,1.1440645498730302
-0.28504620823346044,-3.1589238407344102,2.137457060120037,1.3370573571151825
-0.3008212083158488,-3.147766033342962,2.32355369953925,1.4902384867733922
-0.31653805998626355,-3.135675531121018,2.51033938677271,1.6955813265393722
-0.33219208904376224,-3.122649023923406,2.6977592724807433,1.820669023287021
-0.34777860541843614,-3.108683478228463,2.885757613495736,2.054401512846204
-0.363292904566368,-3.0937761415853937,3.0742777825099337,2.259848805323531
-0.37873026888670547,-3.0779245470118464,3.263262278295687,2.430514159955205
-0.3940859691606119,-3.0611265173390154,3.4526527364626842,2.6791883108074153
-0.40935526601180966,-3.0433801695015816,3.642389940756195,2.809449096246824
-0.4245334113884447,-3.024683918769768,3.832413834900416,3.0211445532894996
-0.43961565006597136,-3.0050364829207794,4.022663534990659,3.2247746982443033
-0.45459722117074286,-2.984436886346874,4.213077342437915,3.443459119584549
-0.46947335972399595,-2.9628844640972827,4.403592757469289,3.5785870680359717
-0.4842392982058762,-2.9403788658512013,4.594146493187284,3.823371881645263
-0.4988902681391626,-2.9169200598190517,4.784674490190994,3.993187145429481
-0.5134215016923293,-2.8925083365691697,4.9751119317619255,4.16623092508405
-0.5278282333015437,-2.8671443127771434,5.165393259616681,4.387920897824231
-0.5421057013112387,-2.8408289348948803,5.355452190229098,4.575350490651079
-0.5562491496328172,-2.8135634827366407,5.545221731723437,4.7518610459065975
-0.57025382942109,-2.7853495729790994,5.734634201340591,4.957495285742482
-0.5841150007680047,-2.7561891625726025,5.923621243478769,5.140296055284274
-0.5978279344132013,-2.726084552060749,6.11211384830964,5.341775740008591
-0.6113879134709491,-2.695038388805386,6.300042370971156,5.543781145581039
-0.6247902351729654,-2.6630536701141665,6.487336551337449,5.752751520648939
-0.6380302126266367,-2.630133746267747,6.67392553436637,5.886155849763059
-0.6511031765881252,-2.5962823234437544,6.859737891024655,6.142770326173405
-0.6640044772498309,-2.5615034665346506,7.044701639790404,6.249509537146489
-0.6767294860416925,-2.525801601856551,7.228744268732677,6.47312840664631
-0.6892735974457458,-2.489181519746186,7.411792758166977,6.6746409503220505
-0.7016322308233971,-2.4516483770430675,7.593773603885833,6.854228603536226
-0.7138008322548196,-2.413207699454006,7.774612840962884,7.020838080621071
-0.7257748763898713,-2.3738653837971424,7.954236068128647,7.212687084741787
-0.7375498683099422,-2.3336277001225767,8.132568472716086,7.389345684010651
-0.7491213454000836,-2.2925012937068256,8.309534856173261,7.568497431663695
-0.7604848792308028,-2.2504931869182117,8.485059660140594,7.777002383389193
-0.771636077448856,-2.2076107809504033,8.659066993089441,7.945446224713701
-0.7825705856763768,-2.16386185742131,8.831480657518588,8.101236279871245
-0.7932840894176667,-2.1192545798345104,9.002224177704925,8.308290717230138
-0.8037723159729361,-2.073797494900526,9.17122082800397,8.46998706893145
-0.8140310363583104,-2.0274995337151025,9.33839366169594,8.65190095070121
-0.8240560672313582,-1.980370012791879,9.503665540372305,8.818221115931589
-0.8338432728214206,-1.9324186349466843,9.666959163857634,8.957137400144523
-0.8433885668639878,-1.883655490030817,9.828197100661162,9.12862793085414
-0.8526879145383547,-1.8340910555107142,9.987301818951845,9.31883858550324
-0.8617373344077947,-1.7837361968913308,10.144195718050817,9.478029503670353
-0.8705329003614489,-1.7326021679807195,10.298801160434197,9.625122911756842
-0.8790707435571394,-1.6807006109932583,10.451040504239176,9.785316990806024
-0.8873470543642914,-1.6280435564889968,10.600836136265908,9.963585078532777
-0.8953580843061324,-1.5746434231467237,10.74811050546699,10.078814735375602
-0.9031001480003398,-1.5205130173682704,10.892786156916426,10.251676802802999
-0.9105696250972788,-1.4656655327117234,11.034785766249112,10.38417535992926
-0.9177629622149731,-1.4101145491511908,11.174032174561734,10.52866709558207
-0.9246766748699369,-1.3538740321608205,11.31044842376556,10.697036557589222
-0.9313073494029729,-1.2969583316209083,11.443957792380854,10.830770286198524
-0.9376516448990595,-1.239382180543785,11.574483831762912,10.966815806428546
-0.943706295100397,-1.1811606936175172,11.701950402748409,11.109943909529743
-0.949468110311718,-1.122309365565181,11.826281712711195,11.214470852987333
-0.954933979296921,-1.062844069317786,11.947402353015642,11.354757005509763
-0.9601008711660921,-1.0027810539989053,12.06523733685544,11.45875389632368
-0.964965837251974,-0.9421369427190139,12.179712137465462,11.59198177024333
-0.9695260129749169,-0.8809287301778345,12.29075272669354,11.700056992588403
-0.9737786196953547,-0.819173780072801,12.398285613918983,11.818308155211557
-0.9777209665528271,-0.7568898223120184,12.502237885303874,11.93845204358141
-0.9813504522905667,-0.6940949500300743,12.60253724336296,12.016763334695282
-0.9846645670646629,-0.6308076164050976,12.699112046837538,12.177879030710738
-0.9876608942368004,-0.5670466312756732,12.791891350858108,12.215066340100543
-0.9903371121495722,-0.5028311575561174,12.880804947380428,12.306238059365924
-0.992690995883354,-0.43818070744879717,12.965783405878984,12.445127551228273
-0.9947204189937158,-0.37311513845235783,13.046758114281381,12.52527958448264
-0.9964233552283576,-0.3076546491644918,13.123661320127113,12.605354999358982
-0.9977978802225276,-0.24181977487839046,13.196426171933249,12.683945128451557
-0.9988421731718962,-0.17563138297172526,13.264986760749546,12.733454713328966
-0.9995545184818415,-0.10911066808730983,13.329278161884927,12.709202508048223
-0.9999333073921033,-0.042279147104674376,13.389236476786756,12.635630826986752
-0.9999770395757583,0.024841346098243646,13.444798875054186,14.21578663535276
-0.9996843247114641,0.09222866609384908,13.495903636566078,14.152774840281927
-0.9990538840279182,0.15986036156463637,13.54249019370402,14.078830320060323
-0.9980845518194756,0.22771368117437918,13.584499173650146,14.092439987467333
-0.9967752769318667,0.2957655796510009,13.621872440739322,14.14506892840795
-0.9951251242169546,0.36399272408147954,13.654553138844857,14.199211568933608
-0.9931332759554724,0.43237150041874817,13.68248573377628,14.214448395043458
-0.9907990332466792,0.5008780202007508,13.70561605566772,14.239259449780281
-0.9881218173638732,0.5694881274814179,13.72389134133461,14.285713898312594
-0.985101171074704,0.6381774059734279,13.737260276576427,14.305977348595944
-0.981736759925222,0.7069211864024295,13.745673038402582,14.306226293535403
-0.9780283734866135,0.7756945540722022,13.749081337158328,14.317230026453181
-0.9739759265635616,0.8444723566403082,13.747438458527109,14.336526692938293
-0.9695794603631852,0.9132292121034775,13.740699305385524,14.303060539765925
-0.9648391436235099,0.9819395169919418,13.728820439486656,14.29886511569832
-0.9597552737004222,1.0505774547718494,13.711760122947188,14.302448983999325
-0.9543282776120771,1.1191170044546213,13.689478359513465,14.297121116924691
-0.9485587130397184,1.1875319494121734,13.661936935581267,14.286908281834444
-0.9424472692838897,1.2557958863966794,13.629099460943776,14.284186173922436
-0.9359947681750161,1.3238822347633972,13.590931409241952,14.240472825182332
-0.9292021649373423,1.3917642458951107,13.547400158091179,14.183377812081421
-0.9220705490052279,1.4594150128263619,13.498475028857849,14.144036205982431
-0.9146011447907956,1.5268074800658218,13.44412732605913,14.076757486772957
-0.9067953124019569,1.5939144536146919,13.384330376359104,14.043351559000726
-0.8986545483098316,1.6607086111791547,13.319059567134053,13.979357255473566
-0.8901804859645996,1.7271625125746006,13.248292384579496,13.927463007043718
-0.8813748963588313,1.7932486103192762,13.172008451331347,13.834788693492229
